Freq, Harmonic, V1, VAngle1, I1, IAngle1
192, 3.19167, 24.4801, -68.6558, 0.000641079, -66.6793
192, 3.20000, 24.566, -68.7056, 0.000642753, -66.5981
192, 3.20833, 24.6522, -68.7564, 0.000644438, -66.5177
193, 3.21667, 24.7387, -68.8082, 0.000646134, -66.4382
194, 3.22500, 24.8256, -68.861, 0.000647841, -66.3595
194, 3.23333, 24.9127, -68.9149, 0.000649559, -66.2817
195, 3.24167, 25.0003, -68.9698, 0.000651289, -66.2048
195, 3.25000, 25.0881, -69.0257, 0.00065303, -66.1288
195, 3.25833, 25.1763, -69.0827, 0.000654782, -66.0536
196, 3.26667, 25.2648, -69.1407, 0.000656546, -65.9795
197, 3.27500, 25.3537, -69.1998, 0.000658321, -65.9062
197, 3.28333, 25.4429, -69.2601, 0.000660108, -65.8339
198, 3.29167, 25.5324, -69.3214, 0.000661906, -65.7626
198, 3.30000, 25.6223, -69.3838, 0.000663715, -65.6923
198, 3.30833, 25.7124, -69.4473, 0.000665536, -65.6229
199, 3.31667, 25.803, -69.512, 0.000667368, -65.5546
200, 3.32500, 25.8938, -69.5778, 0.000669211, -65.4872
200, 3.33333, 25.985, -69.6447, 0.000671066, -65.421
201, 3.34167, 26.0765, -69.7129, 0.000672932, -65.3557
201, 3.35000, 26.1683, -69.7821, 0.00067481, -65.2915
201, 3.35833, 26.2604, -69.8526, 0.000676699, -65.2284
202, 3.36667, 26.3528, -69.9242, 0.0006786, -65.1664
203, 3.37500, 26.4456, -69.9971, 0.000680512, -65.1055
203, 3.38333, 26.5387, -70.0711, 0.000682435, -65.0457
204, 3.39167, 26.6321, -70.1464, 0.000684369, -64.987
204, 3.40000, 26.7258, -70.2229, 0.000686315, -64.9295
204, 3.40833, 26.8198, -70.3007, 0.000688272, -64.8731
205, 3.41667, 26.9141, -70.3797, 0.00069024, -64.8179
206, 3.42500, 27.0087, -70.4599, 0.00069222, -64.7638
206, 3.43333, 27.1036, -70.5414, 0.00069421, -64.711
207, 3.44167, 27.1988, -70.6242, 0.000696212, -64.6593
207, 3.45000, 27.2943, -70.7083, 0.000698225, -64.6089
207, 3.45833, 27.3901, -70.7937, 0.000700248, -64.5596
208, 3.46667, 27.4862, -70.8803, 0.000702283, -64.5117
209, 3.47500, 27.5826, -70.9683, 0.000704329, -64.465
209, 3.48333, 27.6792, -71.0576, 0.000706385, -64.4195
210, 3.49167, 27.7761, -71.1483, 0.000708453, -64.3753
210, 3.50000, 27.8733, -71.2403, 0.000710531, -64.3324
210, 3.50833, 27.9707, -71.3336, 0.000712619, -64.2908
211, 3.51667, 28.0684, -71.4283, 0.000714719, -64.2505
212, 3.52500, 28.1664, -71.5244, 0.000716829, -64.2116
212, 3.53333, 28.2646, -71.6218, 0.000718949, -64.174
213, 3.54167, 28.3631, -71.7207, 0.00072108, -64.1377
213, 3.55000, 28.4618, -71.8209, 0.000723221, -64.1028
213, 3.55833, 28.5607, -71.9225, 0.000725372, -64.0692
214, 3.56667, 28.6599, -72.0256, 0.000727533, -64.0371
215, 3.57500, 28.7593, -72.13, 0.000729705, -64.0063
215, 3.58333, 28.859, -72.2359, 0.000731886, -63.9769
216, 3.59167, 28.9588, -72.3432, 0.000734077, -63.949
216, 3.60000, 29.0589, -72.452, 0.000736278, -63.9225
216, 3.60833, 29.1591, -72.5622, 0.000738488, -63.8974
217, 3.61667, 29.2596, -72.674, 0.000740709, -63.8738
217, 3.62500, 29.3602, -72.7871, 0.000742938, -63.8516
218, 3.63333, 29.4611, -72.9018, 0.000745177, -63.8309
219, 3.64167, 29.5621, -73.0179, 0.000747424, -63.8117
219, 3.65000, 29.6633, -73.1355, 0.000749681, -63.794
219, 3.65833, 29.7646, -73.2547, 0.000751947, -63.7778
220, 3.66667, 29.8662, -73.3753, 0.000754222, -63.7632
221, 3.67500, 29.9678, -73.4975, 0.000756504, -63.75
221, 3.68333, 30.0696, -73.6212, 0.000758796, -63.7384
222, 3.69167, 30.1716, -73.7464, 0.000761096, -63.7284
222, 3.70000, 30.2736, -73.8732, 0.000763404, -63.7199
222, 3.70833, 30.3758, -74.0016, 0.00076572, -63.713
223, 3.71667, 30.4781, -74.1315, 0.000768043, -63.7076
224, 3.72500, 30.5805, -74.2629, 0.000770375, -63.7039
224, 3.73333, 30.683, -74.396, 0.000772713, -63.7017
225, 3.74167, 30.7856, -74.5306, 0.00077506, -63.7012
225, 3.75000, 30.8882, -74.6669, 0.000777413, -63.7023
225, 3.75833, 30.9909, -74.8047, 0.000779772, -63.7051
226, 3.76667, 31.0937, -74.9441, 0.000782139, -63.7095
227, 3.77500, 31.1965, -75.0852, 0.000784512, -63.7155
227, 3.78333, 31.2993, -75.2279, 0.000786891, -63.7232
228, 3.79167, 31.4022, -75.3722, 0.000789277, -63.7326
228, 3.80000, 31.5051, -75.5181, 0.000791668, -63.7437
228, 3.80833, 31.608, -75.6657, 0.000794065, -63.7564
229, 3.81667, 31.7109, -75.815, 0.000796467, -63.7709
230, 3.82500, 31.8137, -75.9659, 0.000798874, -63.7871
230, 3.83333, 31.9165, -76.1184, 0.000801286, -63.805
231, 3.84167, 32.0193, -76.2727, 0.000803702, -63.8246
231, 3.85000, 32.122, -76.4286, 0.000806123, -63.846
231, 3.85833, 32.2247, -76.5862, 0.000808547, -63.8692
232, 3.86667, 32.3272, -76.7455, 0.000810976, -63.8941
233, 3.87500, 32.4297, -76.9064, 0.000813408, -63.9207
233, 3.88333, 32.532, -77.0691, 0.000815842, -63.9492
234, 3.89167, 32.6343, -77.2336, 0.00081828, -63.9794
234, 3.90000, 32.7363, -77.3997, 0.000820721, -64.0114
234, 3.90833, 32.8383, -77.5675, 0.000823163, -64.0452
235, 3.91667, 32.9401, -77.7371, 0.000825607, -64.0808
236, 3.92500, 33.0416, -77.9083, 0.000828053, -64.1183
236, 3.93333, 33.143, -78.0814, 0.0008305, -64.1576
237, 3.94167, 33.2442, -78.2561, 0.000832948, -64.1987
237, 3.95000, 33.3451, -78.4326, 0.000835396, -64.2416
237, 3.95833, 33.4458, -78.6109, 0.000837844, -64.2864
238, 3.96667, 33.5463, -78.7909, 0.000840292, -64.333
238, 3.97500, 33.6464, -78.9727, 0.000842739, -64.3815
239, 3.98333, 33.7462, -79.1562, 0.000845185, -64.4318
240, 3.99167, 33.8458, -79.3415, 0.00084763, -64.484
240, 4.00000, 33.945, -79.5286, 0.000850073, -64.5381
240, 4.00833, 34.0438, -79.7174, 0.000852513, -64.5941
241, 4.01667, 34.1423, -79.908, 0.000854951, -64.6519
242, 4.02500, 34.2404, -80.1004, 0.000857385, -64.7116
242, 4.03333, 34.3381, -80.2945, 0.000859816, -64.7733
243, 4.04167, 34.4353, -80.4905, 0.000862243, -64.8368
243, 4.05000, 34.5321, -80.6882, 0.000864665, -64.9022
243, 4.05833, 34.6285, -80.8877, 0.000867082, -64.9695
244, 4.06667, 34.7243, -81.089, 0.000869493, -65.0387
245, 4.07500, 34.8196, -81.292, 0.000871898, -65.1098
245, 4.08333, 34.9144, -81.4969, 0.000874297, -65.1829
246, 4.09167, 35.0087, -81.7035, 0.000876689, -65.2578
246, 4.10000, 35.1024, -81.9119, 0.000879073, -65.3347
246, 4.10833, 35.1955, -82.1221, 0.000881449, -65.4134
247, 4.11667, 35.2879, -82.334, 0.000883817, -65.4941
248, 4.12500, 35.3797, -82.5477, 0.000886175, -65.5767
248, 4.13333, 35.4709, -82.7632, 0.000888523, -65.6612
249, 4.14167, 35.5614, -82.9805, 0.000890862, -65.7476
249, 4.15000, 35.6511, -83.1996, 0.000893189, -65.8359
249, 4.15833, 35.7401, -83.4203, 0.000895505, -65.9261
250, 4.16667, 35.8284, -83.6429, 0.000897809, -66.0183
251, 4.17500, 35.9159, -83.8672, 0.0009001, -66.1123
251, 4.18333, 36.0025, -84.0933, 0.000902378, -66.2082
252, 4.19167, 36.0884, -84.3211, 0.000904642, -66.306
252, 4.20000, 36.1733, -84.5506, 0.000906891, -66.4058
252, 4.20833, 36.2574, -84.7819, 0.000909126, -66.5073
253, 4.21667, 36.3406, -85.0149, 0.000911345, -66.6108
254, 4.22500, 36.4228, -85.2496, 0.000913547, -66.7162
254, 4.23333, 36.5041, -85.486, 0.000915733, -66.8234
255, 4.24167, 36.5844, -85.7241, 0.000917901, -66.9324
255, 4.25000, 36.6637, -85.9639, 0.00092005, -67.0433
255, 4.25833, 36.7419, -86.2053, 0.000922181, -67.1561
256, 4.26667, 36.8191, -86.4485, 0.000924292, -67.2707
257, 4.27500, 36.8952, -86.6933, 0.000926382, -67.3871
257, 4.28333, 36.9702, -86.9397, 0.000928452, -67.5053
258, 4.29167, 37.044, -87.1878, 0.0009305, -67.6254
258, 4.30000, 37.1166, -87.4374, 0.000932526, -67.7472
258, 4.30833, 37.1881, -87.6887, 0.000934529, -67.8708
259, 4.31667, 37.2583, -87.9416, 0.000936508, -67.9961
260, 4.32500, 37.3273, -88.196, 0.000938462, -68.1232
260, 4.33333, 37.395, -88.452, 0.000940392, -68.2521
261, 4.34167, 37.4613, -88.7096, 0.000942296, -68.3826
261, 4.35000, 37.5264, -88.9686, 0.000944173, -68.5149
261, 4.35833, 37.59, -89.2292, 0.000946023, -68.6489
262, 4.36667, 37.6523, -89.4913, 0.000947845, -68.7845
263, 4.37500, 37.7132, -89.7548, 0.000949639, -68.9218
263, 4.38333, 37.7726, -90.0198, 0.000951403, -69.0607
264, 4.39167, 37.8306, -90.2862, 0.000953138, -69.2013
264, 4.40000, 37.8871, -90.554, 0.000954842, -69.3434
264, 4.40833, 37.942, -90.8232, 0.000956514, -69.4871
265, 4.41667, 37.9954, -91.0938, 0.000958154, -69.6324
265, 4.42500, 38.0472, -91.3657, 0.000959762, -69.7792
266, 4.43333, 38.0975, -91.6389, 0.000961336, -69.9275
267, 4.44167, 38.1461, -91.9134, 0.000962876, -70.0773
267, 4.45000, 38.193, -92.1892, 0.000964382, -70.2286
267, 4.45833, 38.2383, -92.4662, 0.000965852, -70.3813
268, 4.46667, 38.2819, -92.7444, 0.000967286, -70.5354
269, 4.47500, 38.3238, -93.0238, 0.000968683, -70.6909
269, 4.48333, 38.3639, -93.3044, 0.000970043, -70.8478
270, 4.49167, 38.4023, -93.5861, 0.000971364, -71.006
270, 4.50000, 38.4388, -93.8689, 0.000972648, -71.1655
270, 4.50833, 38.4736, -94.1528, 0.000973891, -71.3263
271, 4.51667, 38.5065, -94.4378, 0.000975095, -71.4884
272, 4.52500, 38.5375, -94.7237, 0.000976259, -71.6516
272, 4.53333, 38.5667, -95.0106, 0.000977381, -71.8161
