,harmonico,amplitude,angulo
734,7.116667,100,0
735,7.125,100,0
736,7.133333,100,0
737,7.141667,100,0
738,7.15,100,0
739,7.158333,100,0
740,7.166667,100,0
741,7.175,100,0
742,7.183333,100,0
743,7.191667,100,0
744,7.2,100,0
745,7.208333,100,0
746,7.216667,100,0
747,7.225,100,0
748,7.233333,100,0
749,7.241667,100,0
750,7.25,100,0
751,7.258333,100,0
752,7.266667,100,0
753,7.275,100,0
754,7.283333,100,0
755,7.291667,100,0
756,7.3,100,0
757,7.308333,100,0
758,7.316667,100,0
759,7.325,100,0
760,7.333333,100,0
761,7.341667,100,0
762,7.35,100,0
763,7.358333,100,0
764,7.366667,100,0
765,7.375,100,0
766,7.383333,100,0
767,7.391667,100,0
768,7.4,100,0
769,7.408333,100,0
770,7.416667,100,0
771,7.425,100,0
772,7.433333,100,0
773,7.441667,100,0
774,7.45,100,0
775,7.458333,100,0
776,7.466667,100,0
777,7.475,100,0
778,7.483333,100,0
779,7.491667,100,0
780,7.5,100,0
781,7.508333,100,0
782,7.516667,100,0
783,7.525,100,0
784,7.533333,100,0
785,7.541667,100,0
786,7.55,100,0
787,7.558333,100,0
788,7.566667,100,0
789,7.575,100,0
790,7.583333,100,0
791,7.591667,100,0
792,7.6,100,0
793,7.608333,100,0
794,7.616667,100,0
795,7.625,100,0
796,7.633333,100,0
797,7.641667,100,0
798,7.65,100,0
799,7.658333,100,0
800,7.666667,100,0
801,7.675,100,0
802,7.683333,100,0
803,7.691667,100,0
804,7.7,100,0
805,7.708333,100,0
806,7.716667,100,0
807,7.725,100,0
808,7.733333,100,0
809,7.741667,100,0
810,7.75,100,0
811,7.758333,100,0
812,7.766667,100,0
813,7.775,100,0
814,7.783333,100,0
815,7.791667,100,0
816,7.8,100,0
817,7.808333,100,0
818,7.816667,100,0
819,7.825,100,0
820,7.833333,100,0
821,7.841667,100,0
822,7.85,100,0
823,7.858333,100,0
824,7.866667,100,0
825,7.875,100,0
826,7.883333,100,0
827,7.891667,100,0
828,7.9,100,0
829,7.908333,100,0
830,7.916667,100,0
831,7.925,100,0
832,7.933333,100,0
833,7.941667,100,0
834,7.95,100,0
835,7.958333,100,0
836,7.966667,100,0
837,7.975,100,0
838,7.983333,100,0
839,7.991667,100,0
840,8.0,100,0
841,8.008333,100,0
842,8.016667,100,0
843,8.025,100,0
844,8.033333,100,0
845,8.041667,100,0
846,8.05,100,0
847,8.058333,100,0
848,8.066667,100,0
849,8.075,100,0
850,8.083333,100,0
851,8.091667,100,0
852,8.1,100,0
853,8.108333,100,0
854,8.116667,100,0
855,8.125,100,0
856,8.133333,100,0
857,8.141667,100,0
858,8.15,100,0
859,8.158333,100,0
860,8.166667,100,0
861,8.175,100,0
862,8.183333,100,0
863,8.191667,100,0
864,8.2,100,0
865,8.208333,100,0
866,8.216667,100,0
867,8.225,100,0
868,8.233333,100,0
869,8.241667,100,0
870,8.25,100,0
871,8.258333,100,0
872,8.266667,100,0
873,8.275,100,0
874,8.283333,100,0
875,8.291667,100,0
876,8.3,100,0
877,8.308333,100,0
878,8.316667,100,0
879,8.325,100,0
880,8.333333,100,0
881,8.341667,100,0
882,8.35,100,0
883,8.358333,100,0
884,8.366667,100,0
885,8.375,100,0
